,No,Ticker,MarketCap,PE,FwdPE,PEG,PS,PB,PC,PFCF,EPSthisY,EPSnextY,EPSpast5Y,EPSnext5Y,Salespast5Y,Price,Change,Volume
0,1,ACIW,4.43B,75.21,45.00,6.27,3.39,3.99,33.08,19.91,19.00%,125.93%,-0.50%,12.00%,4.40%,38.43,-0.16%,"608,554"
1,2,ACRS,276.59M,-,-,-,46.10,6.81,5.18,-,-10.10%,26.70%,-57.10%,-,-,6.47,-2.27%,"373,915"
2,3,ACU,97.02M,14.92,13.21,1.49,0.62,1.66,32.34,19.40,23.00%,12.87%,3.30%,10.00%,5.80%,30.13,-2.43%,"13,524"
3,4,ADC,3.67B,36.03,38.05,-,16.00,1.58,249.65,-,8.40%,0.40%,9.50%,-0.90%,28.50%,66.58,1.49%,"315,917"
4,5,ADUS,1.85B,53.79,32.93,3.59,2.44,3.60,10.85,26.47,37.60%,18.14%,11.00%,15.00%,15.70%,117.09,0.92%,"61,737"
5,6,AESE,48.74M,-,-,-,2.12,1.07,8.40,-,-10.80%,53.10%,-,-,-,1.58,0.64%,"1,009,212"
6,7,AEYE,259.33M,-,-,-,14.02,29.02,-,-,-31.30%,33.30%,24.50%,-,83.10%,25.83,-5.00%,"41,683"
7,8,AFT,224.25M,-,-,-,8.61,0.98,-,-,-,-,-,-,-,14.40,0.49%,"43,953"
8,9,AGEN,620.70M,-,-,-,6.79,-,5.44,-,44.60%,0.00%,-2.30%,-,84.70%,3.18,-3.34%,"1,340,472"
9,10,AGM,785.57M,9.02,7.79,0.82,1.43,1.41,0.86,-,-1.60%,3.59%,20.90%,11.00%,21.80%,74.25,0.16%,"30,179"
10,11,AHCO,3.39B,-,26.30,-,3.41,4.80,12.46,-,130.30%,603.45%,-,15.58%,-,37.56,-0.82%,"450,352"
11,12,AKUS,735.30M,-,-,-,-,0.95,2.30,-,-328.10%,43.20%,-,-,-,19.83,4.04%,"85,960"
12,13,ALBO,710.06M,-,-,-,59.17,2.78,2.55,-,-28.00%,-11.70%,18.10%,-,-,37.51,-1.81%,"258,926"
13,14,ALG,1.64B,28.10,18.76,4.26,1.39,2.69,17.50,11.07,-10.60%,26.81%,9.30%,6.60%,5.90%,137.95,1.27%,"25,093"
14,15,ALPN,299.00M,-,-,-,65.00,4.16,2.12,9.06,13.50%,44.40%,12.20%,-,-,12.60,0.32%,"166,333"
15,16,ALRN,43.44M,-,-,-,-,3.25,3.06,-,44.10%,13.60%,-1.80%,2.10%,-,1.04,-4.59%,"1,071,395"
16,17,AMRK,182.88M,3.48,8.33,-,0.03,1.58,7.50,365.77,34.60%,-46.94%,34.00%,-,-2.10%,25.65,0.31%,"119,102"
17,18,AMSWA,559.23M,85.85,57.23,5.37,4.86,4.69,5.94,39.38,-3.90%,33.33%,-6.00%,16.00%,2.30%,17.17,0.94%,"67,980"
18,19,AMTI,1.07B,-,-,-,-,7.17,7.28,-,6.10%,24.70%,-,38.70%,-,30.77,-8.31%,"70,411"
19,20,ANIK,656.72M,-,119.11,-,5.15,2.26,5.27,29.72,48.40%,174.50%,-5.50%,10.00%,1.70%,45.26,1.05%,"79,476"
0,21,APT,155.99M,7.69,4.48,0.51,1.84,2.77,6.29,8.57,-12.30%,39.11%,9.20%,15.00%,-0.40%,11.15,-1.24%,"1,148,691"
1,22,AQMS,172.56M,-,-,-,246.51,4.41,30.81,-,27.30%,-4.30%,-11.60%,35.00%,-,3.00,-1.64%,"2,168,579"
2,23,ARAY,378.01M,27.80,53.46,-,1.00,5.64,4.20,21.72,122.50%,387.50%,15.80%,-,0.20%,4.17,-0.48%,"621,424"
3,24,ARDC,327.45M,-,-,-,-,-,-,-,-,-,-,-,-,14.29,0.07%,"70,648"
4,25,ARDX,588.96M,-,-,-,73.62,4.40,3.18,-,9.30%,-20.00%,-53.50%,30.00%,-30.10%,6.47,-3.86%,"323,062"
5,26,ASND,9.02B,-,-,-,827.17,7.58,7.96,-,-48.00%,14.50%,-61.90%,24.00%,-0.90%,166.78,-2.00%,"74,233"
6,27,ASX,12.11B,14.67,16.36,0.43,0.77,1.71,5.54,4.36,-33.50%,11.56%,-,34.20%,-,5.84,-0.85%,"439,892"
7,28,ATEN,776.87M,78.88,19.07,3.43,3.48,6.32,4.88,18.95,38.20%,23.68%,20.50%,23.00%,3.40%,9.86,0.41%,"357,503"
